,title,scores,tent
0,              ヴァイオレット・エヴァーガーデン（TVアニメ動画）,4.1,7321人が棚に入れました
1,              宇宙よりも遠い場所（TVアニメ動画）,4.2,7102人が棚に入れました
2,              ゆるキャン△（TVアニメ動画）,4.0,5011人が棚に入れました
3,              からかい上手の高木さん（TVアニメ動画）,3.8,3940人が棚に入れました
4,              オーバーロード II（TVアニメ動画）,3.8,4482人が棚に入れました
5,              ダーリン・イン・ザ・フランキス（TVアニメ動画）,3.7,3659人が棚に入れました
6,              恋は雨上がりのように（TVアニメ動画）,3.7,2586人が棚に入れました
7,              りゅうおうのおしごと！（TVアニメ動画）,3.6,3097人が棚に入れました
8,              ハクメイとミコチ（TVアニメ動画）,3.8,1366人が棚に入れました
9,              斉木楠雄のΨ難 第2期（TVアニメ動画）,3.8,1581人が棚に入れました
10,              三ツ星カラーズ（TVアニメ動画）,3.7,1397人が棚に入れました
11,              スロウスタート（TVアニメ動画）,3.6,1671人が棚に入れました
12,              citrus（TVアニメ動画）,3.5,1761人が棚に入れました
13,              だがしかし2（TVアニメ動画）,3.5,1941人が棚に入れました
14,              七つの大罪 戒めの復活（TVアニメ動画）,3.6,1637人が棚に入れました
15,              ラーメン大好き小泉さん（TVアニメ動画）,3.5,1900人が棚に入れました
16,              博多豚骨ラーメンズ（TVアニメ動画）,3.5,1540人が棚に入れました
17,              デスマーチからはじまる異世界狂想曲（TVアニメ動画）,3.1,3266人が棚に入れました
18,              カードキャプターさくら クリアカード編 (2018)（TVアニメ動画）,3.6,1024人が棚に入れました
19,              刻刻（TVアニメ動画）,3.4,1395人が棚に入れました
20,              刀使ノ巫女（TVアニメ動画）,3.5,1109人が棚に入れました
21,              学園ベビーシッターズ（TVアニメ動画）,3.5,690人が棚に入れました
22,              銀魂. 銀ノ魂篇（TVアニメ動画）,3.6,574人が棚に入れました
23,              ミイラの飼い方（TVアニメ動画）,3.5,760人が棚に入れました
24,              新幹線変形ロボ シンカリオン THE ANIMATION（TVアニメ動画）,3.7,138人が棚に入れました
25,              グランクレスト戦記（TVアニメ動画）,3.3,1377人が棚に入れました
26,              アイドリッシュセブン（TVアニメ動画）,3.6,313人が棚に入れました
27,              弱虫ペダル GLORY LINE（TVアニメ動画）,3.4,733人が棚に入れました
28,              たくのみ。（TVアニメ動画）,3.3,1095人が棚に入れました
29,              HUGっと！プリキュア（TVアニメ動画）,3.5,132人が棚に入れました
30,              ポプテピピック（TVアニメ動画）,3.2,2118人が棚に入れました
31,              BEATLESS（TVアニメ動画）,3.2,1295人が棚に入れました
32,              キリングバイツ（TVアニメ動画）,3.3,781人が棚に入れました
33,              ダメプリ ANIME CARAVAN（TVアニメ動画）,3.4,240人が棚に入れました
34,              Fate／EXTRA Last Encore（TVアニメ動画）,3.3,1042人が棚に入れました
35,              オーバーロード ちびキャラアニメ「ぷれぷれぷれあです2」（TVアニメ動画）,3.3,261人が棚に入れました
36,              続 刀剣乱舞-花丸-（TVアニメ動画）,3.3,271人が棚に入れました
37,              メルヘン・メドヘン（TVアニメ動画）,3.0,910人が棚に入れました
38,              まめねこ（TVアニメ動画）,3.2,88人が棚に入れました
39,              伊藤潤二「コレクション」（TVアニメ動画）,3.1,377人が棚に入れました
40,              Fate／Grand Order -MOONLIGHT／LOSTROOM-（TVアニメ動画）,3.2,561人が棚に入れました
41,              働くお兄さん！（TVアニメ動画）,3.1,119人が棚に入れました
42,              七つの美徳（TVアニメ動画）,3.1,266人が棚に入れました
43,              怪獣娘～ウルトラ怪獣擬人化計画～ 第2期（TVアニメ動画）,3.1,103人が棚に入れました
44,              一人之下2 the outcast 羅天大醮編（TVアニメ動画）,3.1,126人が棚に入れました
45,              サンリオ男子（TVアニメ動画）,3.0,332人が棚に入れました
46,              Spiritpact -黄泉の契り-（TVアニメ動画）,3.0,96人が棚に入れました
47,              gdメン gdgd men's party（TVアニメ動画）,1.0,96人が棚に入れました
48,              25歳の女子高生（TVアニメ動画）,2.8,198人が棚に入れました
49,              バジリスク ～桜花忍法帖～（TVアニメ動画）,3.9,427人が棚に入れました
50,              STEINS；GATE 0 [シュタインズ・ゲート・ゼロ]（TVアニメ動画）,4.0,5228人が棚に入れました
51,              ヒナまつり（TVアニメ動画）,3.9,4215人が棚に入れました
52,              ゴールデンカムイ（TVアニメ動画）,3.8,2291人が棚に入れました
53,              ソードアート・オンライン オルタナティブ ガンゲイル・オンライン（TVアニメ動画）,3.6,3621人が棚に入れました
54,              僕のヒーローアカデミア（第3期）（TVアニメ動画）,3.9,1893人が棚に入れました
55,              多田くんは恋をしない（TVアニメ動画）,3.6,2213人が棚に入れました
56,              ウマ娘 プリティーダービー（TVアニメ動画）,3.8,1443人が棚に入れました
57,              ヲタクに恋は難しい（TVアニメ動画）,3.6,2599人が棚に入れました
58,              こみっくがーるず（TVアニメ動画）,3.7,1685人が棚に入れました
59,              ひそねとまそたん（TVアニメ動画）,3.7,1054人が棚に入れました
60,              食戟のソーマ 餐ノ皿 遠月列車篇（TVアニメ動画）,3.7,1405人が棚に入れました
61,              ルパン三世 PART5（TVアニメ動画）,3.7,679人が棚に入れました
62,              フルメタル・パニック！Invisible Victory（IV）（TVアニメ動画）,3.6,1118人が棚に入れました
63,              東京喰種：re（TVアニメ動画）,3.4,1928人が棚に入れました
64,              鬼灯の冷徹 第弐期 その弐（TVアニメ動画）,3.6,911人が棚に入れました
65,              MAJOR 2nd（TVアニメ動画）,3.6,544人が棚に入れました
66,              ピアノの森（TVアニメ動画）,3.5,966人が棚に入れました
67,              信長の忍び ～姉川・石山篇～（TVアニメ動画）,3.6,329人が棚に入れました
68,              PERSONA5 the Animation（TVアニメ動画）,3.6,1026人が棚に入れました
69,              銀河英雄伝説 Die Neue These 邂逅（TVアニメ動画）,3.5,750人が棚に入れました
70,              宇宙戦艦ティラミス（TVアニメ動画）,3.5,676人が棚に入れました
71,              メガロボクス（TVアニメ動画）,3.5,735人が棚に入れました
72,              レイトン ミステリー探偵社 ～カトリーのナゾトキファイル～（TVアニメ動画）,3.7,213人が棚に入れました
73,              あまんちゅ！～あどばんす～（TVアニメ動画）,3.5,721人が棚に入れました
74,              3D彼女 リアルガール（TVアニメ動画）,3.4,1005人が棚に入れました
75,              ハイスクールD×D HERO（TVアニメ動画）,3.4,1070人が棚に入れました
76,              鹿楓堂よついろ日和（TVアニメ動画）,3.5,396人が棚に入れました
77,              若おかみは小学生！（TVアニメ動画）,3.5,276人が棚に入れました
78,              Lostorage conflated WIXOSS（TVアニメ動画）,3.5,446人が棚に入れました
79,              魔法少女サイト（TVアニメ動画）,3.2,1126人が棚に入れました
80,              ラストピリオド ―終わりなき螺旋の物語―（TVアニメ動画）,3.4,543人が棚に入れました
81,              ゲゲゲの鬼太郎 [第6作-2018]（TVアニメ動画）,3.5,282人が棚に入れました
82,              踏切時間（TVアニメ動画）,3.4,562人が棚に入れました
83,              魔法少女 俺（TVアニメ動画）,3.3,944人が棚に入れました
84,              かくりよの宿飯（TVアニメ動画）,3.3,767人が棚に入れました
85,              グラゼニ（TVアニメ動画）,3.3,314人が棚に入れました
86,              ガンダムビルドダイバーズ（TVアニメ動画）,3.4,276人が棚に入れました
87,              あっくんとカノジョ（TVアニメ動画）,3.3,524人が棚に入れました
88,              アイカツフレンズ！（TVアニメ動画）,3.4,98人が棚に入れました
89,              LOST SONG（TVアニメ動画）,3.3,493人が棚に入れました
90,              TO BE HERO 2 - TO BE HEROINE -（TVアニメ動画）,3.4,77人が棚に入れました
91,              デビルズライン（TVアニメ動画）,3.2,777人が棚に入れました
92,              Caligula -カリギュラ-（TVアニメ動画）,3.2,605人が棚に入れました
93,              キャプテン翼（2018）（TVアニメ動画）,3.2,191人が棚に入れました
94,              ニル・アドミラリの天秤（TVアニメ動画）,3.2,358人が棚に入れました
95,              奴隷区 The Animation（TVアニメ動画）,3.1,595人が棚に入れました
96,              キラッとプリ☆チャン（TVアニメ動画）,3.3,81人が棚に入れました
97,              ありすorありす（TVアニメ動画）,3.7,450人が棚に入れました
98,              蒼天の拳 REGENESIS（TVアニメ動画）,3.9,155人が棚に入れました
99,              立花館To Lieあんぐる（TVアニメ動画）,3.8,466人が棚に入れました
100,              ハイスコアガール（TVアニメ動画）,4.0,2503人が棚に入れました
101,              はたらく細胞（TVアニメ動画）,3.7,3681人が棚に入れました
102,              あそびあそばせ（TVアニメ動画）,3.8,3030人が棚に入れました
103,              オーバーロードⅢ（TVアニメ動画）,3.8,3347人が棚に入れました
104,              進撃の巨人 Season3（TVアニメ動画）,3.9,2695人が棚に入れました
105,              ぐらんぶる（TVアニメ動画）,3.7,1983人が棚に入れました
106,              異世界魔王と召喚少女の奴隷魔術（TVアニメ動画）,3.5,3134人が棚に入れました
107,              BANANA FISH（TVアニメ動画）,3.7,1666人が棚に入れました
108,              ヤマノススメ　サードシーズン（TVアニメ動画）,3.8,1149人が棚に入れました
109,              ちおちゃんの通学路（TVアニメ動画）,3.5,1538人が棚に入れました
110,              はるかなレシーブ（TVアニメ動画）,3.5,1352人が棚に入れました
111,              はねバド！（TVアニメ動画）,3.5,1713人が棚に入れました
112,              ハッピーシュガーライフ（TVアニメ動画）,3.6,1419人が棚に入れました
113,              プラネット・ウィズ（TVアニメ動画）,3.7,825人が棚に入れました
114,              邪神ちゃんドロップキック（TVアニメ動画）,3.5,1231人が棚に入れました
115,              少女☆歌劇 レヴュースタァライト（TVアニメ動画）,3.6,702人が棚に入れました
116,              ISLAND（TVアニメ動画）,3.4,1375人が棚に入れました
117,              Back Street Girls －ゴクドルズ－（TVアニメ動画）,3.5,784人が棚に入れました
118,              One Room セカンドシーズン（TVアニメ動画）,3.6,523人が棚に入れました
119,              ゆらぎ荘の幽奈さん（TVアニメ動画）,3.4,1272人が棚に入れました
120,              Free！-Dive to the Future-（TVアニメ動画）,3.6,587人が棚に入れました
121,              天狼 Sirius the Jaeger（TVアニメ動画）,3.5,743人が棚に入れました
122,              つくもがみ貸します（TVアニメ動画）,3.5,439人が棚に入れました
123,              すのはら荘の管理人さん（TVアニメ動画）,3.4,1180人が棚に入れました
124,              アンゴルモア元寇合戦記（TVアニメ動画）,3.4,703人が棚に入れました
125,               銀魂. 銀ノ魂篇 後半戦（TVアニメ動画）,3.6,349人が棚に入れました
126,              兄に付ける薬はない！2（TVアニメ動画）,3.4,208人が棚に入れました
127,              中間管理録トネガワ（TVアニメ動画）,3.2,620人が棚に入れました
128,              オーバーロード ちびキャラアニメ「ぷれぷれぷれあです3」（TVアニメ動画）,3.4,160人が棚に入れました
129,              殺戮の天使（TVアニメ動画）,3.2,1210人が棚に入れました
130,              アイドルマスター シンデレラガールズ劇場 3rd SEASON（TVアニメ動画）,3.4,229人が棚に入れました
131,              ムヒョとロージーの魔法律相談事務所（TVアニメ動画）,3.4,372人が棚に入れました
132,              Phantom in the Twilight（TVアニメ動画）,3.2,341人が棚に入れました
133,              京都寺町三条のホームズ（TVアニメ動画）,3.1,651人が棚に入れました
134,              七星のスバル（TVアニメ動画）,3.0,936人が棚に入れました
135,              働くお兄さん！の2！（TVアニメ動画）,3.2,69人が棚に入れました
136,              音楽少女（TVアニメ動画）,3.0,347人が棚に入れました
137,              深夜！天才バカボン（TVアニメ動画）,2.9,214人が棚に入れました
138,              百錬の覇王と聖約の戦乙女（TVアニメ動画）,2.7,1055人が棚に入れました
139,              ゾイドワイルド（TVアニメ動画）,3.0,61人が棚に入れました
140,              闇芝居（第6期）（TVアニメ動画）,3.0,74人が棚に入れました
141,              夢王国と眠れる100人の王子様（TVアニメ動画）,2.9,146人が棚に入れました
142,              じょしおちっ！～2階から女の子が…降ってきた！？～（TVアニメ動画）,2.9,426人が棚に入れました
143,              千銃士（TVアニメ動画）,2.8,220人が棚に入れました
144,              ロード オブ ヴァーミリオン 紅蓮の王（TVアニメ動画）,2.7,250人が棚に入れました
145,              悪偶 -天才人形-（TVアニメ動画）,2.7,195人が棚に入れました
146,              陰陽師　平安物語（TVアニメ動画）,3.0,73人が棚に入れました
147,              ざんねんないきもの事典（TVアニメ動画）,3.1,34人が棚に入れました
148,              青春ブタ野郎はバニーガール先輩の夢を見ない（TVアニメ動画）,3.9,4962人が棚に入れました
149,              ゾンビランドサガ（TVアニメ動画）,3.9,3186人が棚に入れました
150,              色づく世界の明日から（TVアニメ動画）,3.8,3473人が棚に入れました
151,              ゴブリンスレイヤー（TVアニメ動画）,3.7,3764人が棚に入れました
152,              転生したらスライムだった件（TVアニメ動画）,3.5,4559人が棚に入れました
153,              ソードアート･オンライン　アリシゼーション（TVアニメ動画）,3.7,3886人が棚に入れました
154,              SSSS.GRIDMAN（TVアニメ動画）,3.8,2919人が棚に入れました
155,              やがて君になる（TVアニメ動画）,3.8,1871人が棚に入れました
156,              ジョジョの奇妙な冒険 黄金の風（TVアニメ動画）,4.0,1352人が棚に入れました
157,              風が強く吹いている（TVアニメ動画）,4.0,1105人が棚に入れました
158,              ゴールデンカムイ（第二期）（TVアニメ動画）,3.7,1388人が棚に入れました
159,              うちのメイドがウザすぎる！（TVアニメ動画）,3.6,1857人が棚に入れました
160,              寄宿学校のジュリエット（TVアニメ動画）,3.6,1996人が棚に入れました
161,              となりの吸血鬼さん（TVアニメ動画）,3.7,1539人が棚に入れました
162,              とある魔術の禁書目録[インデックス] Ⅲ 第3期（TVアニメ動画）,3.4,2453人が棚に入れました
163,              からくりサーカス（TVアニメ動画）,3.6,870人が棚に入れました
164,              ツルネ ―風舞高校弓道部―（TVアニメ動画）,3.5,753人が棚に入れました
165,              RELEASE THE SPYCE（TVアニメ動画）,3.5,1042人が棚に入れました
166,              アニマエール！（TVアニメ動画）,3.5,797人が棚に入れました
167,              火ノ丸相撲（TVアニメ動画）,3.5,541人が棚に入れました
168,              グラゼニ シーズン２（TVアニメ動画）,3.5,166人が棚に入れました
169,              DOUBLE DECKER！ ダグ＆キリル（TVアニメ動画）,3.5,618人が棚に入れました
170,              宇宙戦艦ティラミスⅡ（TVアニメ動画）,3.5,384人が棚に入れました
171,              FAIRY TAIL ファイナルシリーズ（TVアニメ動画）,3.5,275人が棚に入れました
172,              ベルゼブブ嬢のお気に召すまま。（TVアニメ動画）,3.4,710人が棚に入れました
173,              東京喰種：re 最終章（TVアニメ動画）,3.4,1112人が棚に入れました
174,              抱かれたい男1位に脅されています。（TVアニメ動画）,3.4,387人が棚に入れました
175,              ガイコツ書店員 本田さん（TVアニメ動画）,3.3,547人が棚に入れました
176,              メルクストーリア -無気力少年と瓶の中の少女-（TVアニメ動画）,3.4,377人が棚に入れました
177,              ラディアン（TVアニメ動画）,3.4,404人が棚に入れました
178,              宇宙戦艦ヤマト2202 愛の戦士たち（TVアニメ動画）,3.5,82人が棚に入れました
179,              あかねさす少女（TVアニメ動画）,3.2,724人が棚に入れました
180,              でびどる！（TVアニメ動画）,3.4,183人が棚に入れました
181,              逆転裁判 その「真実」、異議あり！ Season2（TVアニメ動画）,3.3,160人が棚に入れました
182,              その時、カノジョは。（TVアニメ動画）,3.3,87人が棚に入れました
183,              蒼天の拳 REGENESIS 第2期（TVアニメ動画）,3.3,74人が棚に入れました
184,              叛逆性ミリオンアーサー（TVアニメ動画）,3.3,310人が棚に入れました
185,              軒轅剣・蒼き曜（TVアニメ動画）,3.3,133人が棚に入れました
186,              INGRESS（TVアニメ動画）,3.2,477人が棚に入れました
187,              ひもてはうす（TVアニメ動画）,3.1,502人が棚に入れました
188,              ユリシーズ ジャンヌ・ダルクと錬金の騎士（TVアニメ動画）,3.0,622人が棚に入れました
189,              閃乱カグラ SHINOVI MASTER -東京妖魔篇-（TVアニメ動画）,3.1,215人が棚に入れました
190,              おこしやす、ちとせちゃん（TVアニメ動画）,3.1,118人が棚に入れました
191,              走り続けてよかったって。（TVアニメ動画）,3.1,192人が棚に入れました
192,              アイドルマスター SideM 理由あってMini！（TVアニメ動画）,3.1,64人が棚に入れました
193,              ほら、耳がみえてるよ！（TVアニメ動画）,3.1,99人が棚に入れました
194,              RErideD－刻越えのデリダ－（TVアニメ動画）,3.0,495人が棚に入れました
195,              おとなの防具屋さん（TVアニメ動画）,3.0,536人が棚に入れました
196,              俺が好きなのは妹だけど妹じゃない（TVアニメ動画）,2.7,1210人が棚に入れました
197,              狐狸之声（TVアニメ動画）,3.0,96人が棚に入れました
